,State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,24,468,0,0,0,0,DISTRICT,Kachchh,Total,445672,2092371,1096737,995634,318412,165739,152673,258859,133224,125635,24228,12825,11403,1252319,739239,513080,840052,357498,482554,776228,624704,151524,686937,591369,95568,99241,88516,10725,140410,104117,36293,8170,5625,2545,439116,393111,46005,89291,33335,55956,6635,1852,4783,43561,11765,31796,2632,431,2201,36463,19287,17176,75376,27750,47626,5226,1549,3677,37335,10028,27307,2026,369,1657,30789,15804,14985,13915,5585,8330,1409,303,1106,6226,1737,4489,606,62,544,5674,3483,2191,1316143,472033,844110
1,24,469,0,0,0,0,DISTRICT,Banas Kantha,Total,560411,3120506,1610379,1510127,510310,268858,241452,327460,169288,158172,284155,144355,139800,1704923,1048402,656521,1415583,561977,853606,1248600,836268,412332,1012080,779716,232364,435409,379070,56339,239333,162991,76342,8755,6737,2018,328583,230918,97665,236520,56552,179968,40176,9480,30696,111208,28309,82899,3057,1021,2036,82079,17742,64337,216493,50093,166400,35936,7980,27956,102747,25599,77148,2717,877,1840,75093,15637,59456,20027,6459,13568,4240,1500,2740,8461,2710,5751,340,144,196,6986,2105,4881,1871906,774111,1097795
2,24,470,0,0,0,0,DISTRICT,Patan  ,Total,267633,1343734,694397,649337,184779,97762,87017,123408,64190,59218,13303,6835,6468,837913,494631,343282,505821,199766,306055,554830,383074,171756,446240,353815,92425,126099,113449,12650,158550,111370,47180,4538,2902,1636,157053,126094,30959,108590,29259,79331,10491,2558,7933,68530,15379,53151,1854,812,1042,27715,10510,17205,97700,25484,72216,9264,2129,7135,62614,13742,48872,1623,735,888,24199,8878,15321,10890,3775,7115,1227,429,798,5916,1637,4279,231,77,154,3516,1632,1884,788904,311323,477581
3,24,471,0,0,0,0,DISTRICT,Mahesana,Total,424479,2035064,1056520,978544,237932,129169,108763,162288,84470,77818,9392,4879,4513,1502645,847499,655146,532419,209021,323398,812064,588699,223365,698768,552121,146647,178862,164786,14076,192521,136785,55736,6980,5191,1789,320405,245359,75046,113296,36578,76718,10898,3261,7637,50448,13000,37448,3302,927,2375,48648,19390,29258,103409,32584,70825,9426,2727,6699,46314,11682,34632,2985,824,2161,44684,17351,27333,9887,3994,5893,1472,534,938,4134,1318,2816,317,103,214,3964,2039,1925,1223000,467821,755179
4,24,472,0,0,0,0,DISTRICT,Sabar Kantha,Total,481414,2428589,1244231,1184358,345490,181529,163961,187685,96527,91158,542156,272531,269625,1578734,918625,660109,849855,325606,524249,1084878,681435,403443,795096,598804,196292,320408,288961,31447,188289,117834,70455,6402,4535,1867,279997,187474,92523,289782,82631,207151,46303,12734,33569,145578,45872,99706,4507,1079,3428,93394,22946,70448,253382,68931,184451,41672,10830,30842,123177,37606,85571,4005,919,3086,84528,19576,64952,36400,13700,22700,4631,1904,2727,22401,8266,14135,502,160,342,8866,3370,5496,1343711,562796,780915
5,24,473,0,0,0,0,DISTRICT,Gandhinagar,Total,289990,1391753,723864,667889,167377,90604,76773,108608,56919,51689,18204,9711,8493,1030494,582686,447808,361259,141178,220081,534976,408075,126901,451951,372747,79204,98153,91309,6844,97287,73049,24238,5666,4301,1365,250845,204088,46757,83025,35328,47697,5994,2550,3444,32069,11994,20075,2934,789,2145,42028,19995,22033,74190,31211,42979,5384,2284,3100,28819,10866,17953,2599,649,1950,37388,17412,19976,8835,4117,4718,610,266,344,3250,1128,2122,335,140,195,4640,2583,2057,856777,315789,540988
6,24,474,0,0,0,0,DISTRICT,Ahmadabad,Total,1510134,7214225,3788051,3426174,842518,453790,388728,759483,399075,360408,89138,47106,42032,5435760,3025463,2410297,1778465,762588,1015877,2594952,2127547,467405,2332409,2005714,326695,127916,118005,9911,191480,144697,46783,42553,28907,13646,1970460,1714105,256355,262543,121833,140710,14754,5243,9511,77474,23100,54374,12323,3748,8575,157992,89742,68250,233282,107697,125585,13655,4873,8782,69673,21060,48613,9925,3041,6884,140029,78723,61306,29261,14136,15125,1099,370,729,7801,2040,5761,2398,707,1691,17963,11019,6944,4619273,1660504,2958769
7,24,475,0,0,0,0,DISTRICT,Surendranagar,Total,343213,1756268,909917,846351,240011,126572,113439,179461,93427,86034,21453,11068,10385,1093626,643221,450405,662642,266696,395946,723500,504038,219462,586364,470081,116283,166352,139524,26828,180888,124958,55930,7151,5604,1547,231973,199995,31978,137136,33957,103179,18883,3216,15667,89973,18540,71433,2367,589,1778,25913,11612,14301,120763,29599,91164,16184,2624,13560,80029,16346,63683,2013,481,1532,22537,10148,12389,16373,4358,12015,2699,592,2107,9944,2194,7750,354,108,246,3376,1464,1912,1032768,405879,626889
8,24,476,0,0,0,0,DISTRICT,Rajkot,Total,786586,3804558,1974445,1830113,438580,235534,203046,290169,149782,140387,24017,12504,11513,2725056,1514075,1210981,1079502,460370,619132,1479050,1159480,319570,1324783,1106368,218415,304782,237042,67740,171235,115268,55967,18792,13505,5287,829974,740553,89421,154267,53112,101155,44575,6729,37846,43050,9207,33843,4988,1399,3589,61654,35777,25877,135331,46753,88578,37347,5204,32143,38810,8156,30654,4105,1111,2994,55069,32282,22787,18936,6359,12577,7228,1525,5703,4240,1051,3189,883,288,595,6585,3495,3090,2325508,814965,1510543
9,24,477,0,0,0,0,DISTRICT,Jamnagar,Total,430941,2160119,1114192,1045927,263972,138608,125364,173895,89597,84298,24187,12415,11772,1396534,795140,601394,763585,319052,444533,847440,646822,200618,721253,604615,116638,226459,185333,41126,106658,75414,31244,8392,5928,2464,379744,337940,41804,126187,42207,83980,37859,5366,32493,40535,9541,30994,2967,819,2148,44826,26481,18345,111302,37253,74049,32342,4143,28199,35856,8290,27566,2476,686,1790,40628,24134,16494,14885,4954,9931,5517,1223,4294,4679,1251,3428,491,133,358,4198,2347,1851,1312679,467370,845309
